      ksamplingd-4623    [065] .....   125.908068: ksamplingd: nr_sampled: 500000, nr_dram: 492212, nr_nvm: 7, nr_write: 7781, nr_throttled: 0 
      ksamplingd-4623    [067] .....   127.569359: ksamplingd: nr_sampled: 1000000, nr_dram: 499970, nr_nvm: 3, nr_write: 27, nr_throttled: 0 
      ksamplingd-4623    [067] .....   129.030359: ksamplingd: nr_sampled: 1500000, nr_dram: 499993, nr_nvm: 1, nr_write: 6, nr_throttled: 0 
      ksamplingd-4623    [067] .....   130.484132: ksamplingd: nr_sampled: 2000000, nr_dram: 499982, nr_nvm: 5, nr_write: 13, nr_throttled: 0 
      ksamplingd-4623    [067] .....   131.942707: ksamplingd: nr_sampled: 2500000, nr_dram: 499892, nr_nvm: 4, nr_write: 104, nr_throttled: 0 
      ksamplingd-4623    [067] .....   133.396647: ksamplingd: nr_sampled: 3000000, nr_dram: 499989, nr_nvm: 2, nr_write: 9, nr_throttled: 0 
      ksamplingd-4623    [067] .....   134.857681: ksamplingd: nr_sampled: 3500000, nr_dram: 499987, nr_nvm: 4, nr_write: 9, nr_throttled: 0 
      ksamplingd-4623    [067] .....   136.313777: ksamplingd: nr_sampled: 4000000, nr_dram: 499855, nr_nvm: 5, nr_write: 140, nr_throttled: 0 
      ksamplingd-5907    [009] .....   201.711248: ksamplingd: nr_sampled: 500000, nr_dram: 499899, nr_nvm: 1, nr_write: 100, nr_throttled: 0 
      ksamplingd-5907    [007] .....   203.167940: ksamplingd: nr_sampled: 1000000, nr_dram: 499997, nr_nvm: 0, nr_write: 3, nr_throttled: 0 
      ksamplingd-5907    [007] .....   204.623351: ksamplingd: nr_sampled: 1500000, nr_dram: 499994, nr_nvm: 0, nr_write: 6, nr_throttled: 0 
      ksamplingd-5907    [007] .....   206.086288: ksamplingd: nr_sampled: 2000000, nr_dram: 499921, nr_nvm: 0, nr_write: 79, nr_throttled: 0 
      ksamplingd-5907    [007] .....   207.547729: ksamplingd: nr_sampled: 2500000, nr_dram: 499969, nr_nvm: 1, nr_write: 30, nr_throttled: 0 
      ksamplingd-5907    [007] .....   209.002807: ksamplingd: nr_sampled: 3000000, nr_dram: 499959, nr_nvm: 0, nr_write: 41, nr_throttled: 0 
      ksamplingd-5907    [007] .....   210.463934: ksamplingd: nr_sampled: 3500000, nr_dram: 499916, nr_nvm: 1, nr_write: 83, nr_throttled: 0 
      ksamplingd-5907    [007] .....   211.926078: ksamplingd: nr_sampled: 4000000, nr_dram: 499990, nr_nvm: 0, nr_write: 10, nr_throttled: 0 
      ksamplingd-6712    [003] .....   247.238538: ksamplingd: nr_sampled: 500000, nr_dram: 17110, nr_nvm: 482865, nr_write: 25, nr_throttled: 0 
      ksamplingd-6712    [003] .....   249.840993: ksamplingd: nr_sampled: 1000000, nr_dram: 44, nr_nvm: 499934, nr_write: 22, nr_throttled: 0 
      ksamplingd-6712    [003] .....   252.437526: ksamplingd: nr_sampled: 1500000, nr_dram: 67, nr_nvm: 499846, nr_write: 87, nr_throttled: 0 
      ksamplingd-6712    [007] .....   255.042540: ksamplingd: nr_sampled: 2000000, nr_dram: 102, nr_nvm: 499792, nr_write: 106, nr_throttled: 0 
      ksamplingd-6712    [007] .....   257.820975: ksamplingd: nr_sampled: 2500000, nr_dram: 36894, nr_nvm: 463070, nr_write: 36, nr_throttled: 0 
      ksamplingd-6712    [003] .....   261.517981: ksamplingd: nr_sampled: 3000000, nr_dram: 54, nr_nvm: 499939, nr_write: 7, nr_throttled: 0 
      ksamplingd-6712    [003] .....   265.221924: ksamplingd: nr_sampled: 3500000, nr_dram: 52, nr_nvm: 499941, nr_write: 7, nr_throttled: 0 
      ksamplingd-6712    [003] .....   268.923725: ksamplingd: nr_sampled: 4000000, nr_dram: 439, nr_nvm: 499544, nr_write: 17, nr_throttled: 0 
      ksamplingd-7609    [065] .....   298.709333: ksamplingd: nr_sampled: 500000, nr_dram: 493471, nr_nvm: 6523, nr_write: 6, nr_throttled: 0 
      ksamplingd-7609    [065] .....   302.678157: ksamplingd: nr_sampled: 1000000, nr_dram: 499925, nr_nvm: 0, nr_write: 75, nr_throttled: 0 
      ksamplingd-9207    [079] .....   690.807323: ksamplingd: nr_sampled: 500000, nr_dram: 55417, nr_nvm: 444445, nr_write: 138, nr_throttled: 0 
      ksamplingd-10035   [019] .....   816.449538: ksamplingd: nr_sampled: 500000, nr_dram: 473398, nr_nvm: 26437, nr_write: 165, nr_throttled: 0 
      ksamplingd-10035   [005] .....   820.109377: ksamplingd: nr_sampled: 1000000, nr_dram: 499987, nr_nvm: 4, nr_write: 9, nr_throttled: 0 
